"analysisId","Eval","demographicId","ageId","ageGroup","genId","genGroup","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","MedianPredictedProbability","P75PredictedProbability","MaxPredictedProbability"
"Analysis_1002","test",7,"6003","Age group: 30-34",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",8,"7003","Age group: 35-39",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",9,"8003","Age group: 40-44",8507001,"Male",46,0,0.00270221518700003,9.95690673438865e-05,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00300295916633168
"Analysis_1002","test",10,"9003","Age group: 45-49",8507001,"Male",156,0,0.00276714762633299,0.000278545773953483,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00443405519172294
"Analysis_1002","test",11,"10003","Age group: 50-54",8507001,"Male",487,0,0.00287742853515992,0.0004592162209369,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00273358734163917,0.00606123139091146
"Analysis_1002","test",12,"11003","Age group: 55-59",8507001,"Male",943,1,0.00295148255743512,0.000692154418288472,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.0118664202362329
"Analysis_1002","test",13,"12003","Age group: 60-64",8507001,"Male",1416,3,0.00294777906010565,0.000613115839390246,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.00665316890061114
"Analysis_1002","test",14,"13003","Age group: 65-69",8507001,"Male",1274,3,0.00304449247780571,0.000715524283004699,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00330534618015403,0.00665316890061114
"Analysis_1002","test",15,"14003","Age group: 70-74",8507001,"Male",1631,3,0.00309903524779434,0.000800997093728208,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.0118664202362329
"Analysis_1002","test",16,"15003","Age group: 75-79",8507001,"Male",1452,4,0.0032208491402286,0.000891576771855595,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.0106314772353404
"Analysis_1002","test",17,"16003","Age group: 80-84",8507001,"Male",909,10,0.00335635345580902,0.000979938704885862,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.00358381555258011,0.00676893074842611
"Analysis_1002","test",18,"17003","Age group: 85-89",8507001,"Male",216,4,0.00350681678810581,0.00152706806010093,0.00266573872497508,0.00266573872497508,0.00330534618015403,0.00358381555258011,0.0202623345962128
"Analysis_1002","test",19,"18003","Age group: 90-94",8507001,"Male",1,0,0.00358381555258011,NA,0.00358381555258011,0.00358381555258011,0.00358381555258011,0.00358381555258011,0.00358381555258011
"Analysis_1002","test",20,"19003","Age group: 95-99",8507001,"Male",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",21,"0003","Age group: 0-4",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",22,"1003","Age group: 5-9",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",23,"2003","Age group: 10-14",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",24,"3003","Age group: 15-19",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",25,"4003","Age group: 20-24",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",26,"5003","Age group: 25-29",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",27,"6003","Age group: 30-34",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",28,"7003","Age group: 35-39",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Analysis_1002","test",29,"8003","Age group: 40-44",8532001,"Female",38,0,0.00303915080991888,0.00155586245795205,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00291170808117303,0.0122593762502848
"Analysis_1002","test",30,"9003","Age group: 45-49",8532001,"Female",210,0,0.00280160909167439,0.000376521985356637,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00613767392750331
"Analysis_1002","test",31,"10003","Age group: 50-54",8532001,"Female",609,0,0.00279049701592141,0.00036129083516249,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00595749997987249
"Analysis_1002","test",32,"11003","Age group: 55-59",8532001,"Female",1136,2,0.00284304080727287,0.000437410052828341,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00634214034329445
"Analysis_1002","test",33,"12003","Age group: 60-64",8532001,"Female",1700,2,0.00287760331777001,0.000517367486894324,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00615600137747326
"Analysis_1002","test",34,"13003","Age group: 65-69",8532001,"Female",1576,2,0.00288619840184607,0.000568573988383585,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.0118664202362329
"Analysis_1002","test",35,"14003","Age group: 70-74",8532001,"Female",2567,4,0.00296789194900581,0.000685054018464507,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00297817387530579,0.0164270682306447
"Analysis_1002","test",36,"15003","Age group: 75-79",8532001,"Female",2182,4,0.00306058632271478,0.000742337781437871,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00330534618015403,0.00665316890061114
"Analysis_1002","test",37,"16003","Age group: 80-84",8532001,"Female",1381,3,0.00315888332754241,0.000846689214534785,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.00957049640884591
"Analysis_1002","test",38,"17003","Age group: 85-89",8532001,"Female",318,5,0.00328934620525036,0.000964065783570886,0.00266573872497508,0.00266573872497508,0.00266573872497508,0.00358381555258011,0.00665316890061114
"Analysis_1002","test",39,"18003","Age group: 90-94",8532001,"Female",4,0,0.00282195630014043,0.000180384518147739,0.00266573872497508,0.00266573872497508,0.00282195630014043,0.00297817387530579,0.00297817387530579
"Analysis_1002","test",40,"19003","Age group: 95-99",8532001,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA
